Player,Market Value
Lamine Yamal,€200.00m
Erling Haaland,€200.00m
Kylian Mbappé,€180.00m
Pedri,€150.00m
Michael Olise,€150.00m
João Neves,€140.00m
Khvicha Kvaratskhelia,€140.00m
Vitinha,€140.00m
Vinicius Junior,€140.00m
Jude Bellingham,€130.00m
Désiré Doué,€120.00m
Declan Rice,€120.00m
Bukayo Saka,€110.00m
Moisés Caicedo,€100.00m
Fermín López,€100.00m
Florian Wirtz,€100.00m
Jamal Musiala,€100.00m
Julián Álvarez,€100.00m
Cole Palmer,€100.00m
William Saliba,€100.00m
Dominik Szoboszlai,€100.00m
Ousmane Dembélé,€100.00m
Yan Diomande,€90.00m
Arda Güler,€90.00m
Aleksandar Pavlovic,€90.00m
Enzo Fernández,€90.00m
Rayan Cherki,€90.00m
Morgan Rogers,€90.00m
Federico Valverde,€90.00m
Lautaro Martínez,€85.00m
Alexander Isak,€85.00m
Estêvão,€80.00m
Pau Cubarsí,€80.00m
Nico Paz,€80.00m
Warren Zaïre-Emery,€80.00m
Hugo Ekitiké,€80.00m
Willian Pacho,€80.00m
João Pedro,€80.00m
Nuno Mendes,€80.00m
Antoine Semenyo,€80.00m
Ryan Gravenberch,€80.00m
Achraf Hakimi,€80.00m
Sandro Tonali,€80.00m
Kenan Yıldız,€75.00m
Benjamin Sesko,€75.00m
Elliot Anderson,€75.00m
Matheus Cunha,€75.00m
Jérémy Doku,€75.00m
Gabriel,€75.00m
Martín Zubimendi,€75.00m
Bryan Mbeumo,€75.00m
Victor Osimhen,€75.00m
Junior Kroupi,€70.00m
Kobbie Mainoo,€70.00m
Adam Wharton,€70.00m
Nico O'Reilly,€70.00m
Bradley Barcola,€70.00m
Alexis Mac Allister,€70.00m
Bruno Guimarães,€70.00m
Luis Díaz,€70.00m
Josko Gvardiol,€70.00m
Morgan Gibbs-White,€70.00m
Jurriën Timber,€70.00m
Aurélien Tchouaméni,€70.00m
Raphinha,€70.00m
Phil Foden,€70.00m
Marc Guéhi,€70.00m
Dayot Upamecano,€70.00m
Igor Thiago,€65.00m
Anthony Gordon,€65.00m
Eberechi Eze,€65.00m
Viktor Gyökeres,€65.00m
Martin Ødegaard,€65.00m
Alessandro Bastoni,€65.00m
Lennart Karl,€60.00m
Rayan,€60.00m
Luka Vuskovic,€60.00m
Dean Huijsen,€60.00m
Rasmus Højlund,€60.00m
Pedro Neto,€60.00m
Reece James,€60.00m
Cody Gakpo,€60.00m
Jules Koundé,€60.00m
Trent Alexander-Arnold,€60.00m
Dani Olmo,€60.00m
Harry Kane,€60.00m
Jérémy Jacquet,€55.00m
Carlos Baleba,€55.00m
Pablo Barrios,€55.00m
Iliman Ndiaye,€55.00m
Mason Greenwood,€55.00m
Riccardo Calafiori,€55.00m
Nick Woltemade,€55.00m
Nico Schlotterbeck,€55.00m
Kai Havertz,€55.00m
Rúben Dias,€55.00m
Ayyoub Bouaddi,€50.00m
Murillo,€50.00m
Johan Manzambi,€50.00m
Victor Froholdt,€50.00m
Leny Yoro,€50.00m
Mateus Fernandes,€50.00m
Alex Scott,€50.00m
Álvaro Carreras,€50.00m
Abdukodir Khusanov,€50.00m
Maghnes Akliouche,€50.00m
Alberto Moleiro,€50.00m
Piero Hincapié,€50.00m
Eduardo Camavinga,€50.00m
Alejandro Balde,€50.00m
Manu Koné,€50.00m
Castello Lukeba,€50.00m
Levi Colwill,€50.00m
Matheus Nunes,€50.00m
Micky van de Ven,€50.00m
Mohammed Kudus,€50.00m
Noni Madueke,€50.00m
Tijjani Reijnders,€50.00m
Omar Marmoush,€50.00m
Yann Bisseck,€50.00m
Maxence Lacroix,€50.00m
Felix Nmecha,€50.00m
Ferran Torres,€50.00m
Rodri,€50.00m
Rafael Leão,€50.00m
Marcus Thuram,€50.00m
Marc Cucurella,€50.00m
Nicolò Barella,€50.00m
Federico Dimarco,€50.00m
Said El Mala,€45.00m
Franco Mastantuono,€45.00m
Yankuba Minteh,€45.00m
Samu Aghehowa,€45.00m
Pio Esposito,€45.00m
Ibrahim Maza,€45.00m
Myles Lewis-Skelly,€45.00m
Can Uzun,€45.00m
Gabriel Martinelli,€45.00m
Jarell Quansah,€45.00m
Éderson,€45.00m
Jan Paul van Hecke,€45.00m
Joan García,€45.00m
Amad Diallo,€45.00m
Malick Thiaw,€45.00m
James Garner,€45.00m
Tino Livramento,€45.00m
Amadou Onana,€45.00m
Morten Hjulmand,€45.00m
Angelo Stiller,€45.00m
Rodrygo,€45.00m
Ibrahima Konaté,€45.00m
Cristian Romero,€45.00m
Donyell Malen,€45.00m
Gianluigi Donnarumma,€45.00m
Geovany Quenda,€42.00m
Ousmane Diomande,€42.00m
Christian Kofane,€40.00m
Bazoumana Touré,€40.00m
Endrick,€40.00m
Wesley,€40.00m
Lamine Camara,€40.00m
Jorrel Hato,€40.00m
Senny Mayulu,€40.00m
Valentín Barco,€40.00m
Michael Kayode,€40.00m
Tom Bischof,€40.00m
Mamadou Sangaré,€40.00m
Jobe Bellingham,€40.00m
Nicolas Jackson,€40.00m
Andrey Santos,€40.00m
Giuliano Simeone,€40.00m
João Gomes,€40.00m
Abde Ezzalzouli,€40.00m
Nico Williams,€40.00m
Ismael Saibari,€40.00m
Nathaniel Brown,€40.00m
Lewis Hall,€40.00m
Petar Sučić,€40.00m
Jarrad Branthwaite,€40.00m
Ilya Zabarnyi,€40.00m
Cristhian Mosquera,€40.00m
Kaishu Sano,€40.00m
Antony,€40.00m
Maximilian Beier,€40.00m
Rayan Aït-Nouri,€40.00m
Strahinja Pavlović,€40.00m
Xavi Simons,€40.00m
Bart Verbruggen,€40.00m
Gonçalo Inácio,€40.00m
Álex Baena,€40.00m
Jamie Leweling,€40.00m
Folarin Balogun,€40.00m
Karim Adeyemi,€40.00m
Pape Gueye,€40.00m
Josip Stanisic,€40.00m
Lisandro Martínez,€40.00m
Nico González,€40.00m
Eric García,€40.00m
Christos Tzolis,€40.00m
Jørgen Strand Larsen,€40.00m
Alphonso Davies,€40.00m
